Romaji,Español,Kana,Tipo,Keyword,Colocation
Amerika,America, アメリカ,Sustantivo,#pais#gentilicio,
aruzenchin,argentina,アルゼンチン,Sustantivo,#pais#gentilicio,
burajiru,Brasil,,Sustantivo,#pais#gentilicio,
chuugoku,China, 中国,Sustantivo,#pais#gentilicio,
Koronbia,Colombia,コロンビア,Sustantivo,#pais#gentilicio,
Gohan,"comer, acompañado de partículo una comida en concreto",ごはん を たべます,Verbo,#Perifrasis,"Gohan o tabemasu, hiru gohan o tabemasu, ban gohan o tabemasu"
Danieru,Daniel,ダニエル,Nombre Propio,,
Naka,dentro,,Adverbio,,
kare,Él,,Pronombre,,
Kanojo,Ella,,Pronombre,,
Kare tachi / kare ra,Ellos (masculino),,Pronombre,,
byôki,enfermedad,びょうき,Sustantivo,,
Supein,Españita,,Sustantivo,#pais#gentilicio,
supeinjin,Español,,Adjetivo,#pais#gentilicio,
Omedetou,Felicidades,おめでとう,Sustantivo,,
Guuguru,Google,,,,
arimasu/aru,haber,,Verbo,#arimasu,
Zangyou,Horas extra,ざんぎょう,Sustantivo,,
Sangyou,Industria,,Sustantivo,,
Enjinia,Ingeniero,,Sustantivo,,
Itaria,Italia,イタリア,Sustantivo,#pais#gentilicio,
Itariajin,Italiano,イタリア人,Adjetivo,#pais#gentilicio,
Nihonjin,Japones,,Adjetivo,#pais#gentilicio,
Kankoku,Korea del Sur,韓国,Sustantivo,#pais#gentilicio,
hiru,mediodía,,Sustantivo,#Franja,
San,Mr,,Sustantivo,#titulo,
Dekimasen,No Poder,できません,Verbo,#Dekimasu,
dewa arimasen,No ser,,Verbo,#desu,
dewa nai desu,No ser,,Verbo,#desu,
janai desu,No ser,,Verbo,#desu,
ban,noche,,Sustantivo,#Franja,
Maru,º en las sílabas,,Símbolos,,
Peruu,Perú,ペルー,Sustantivo,#pais#gentilicio,
Peruujin,Peruano,ペルー人,Adjetivo,#pais#gentilicio,
Dekimasu,Poder,できます,Verbo,#Dekimasu,Watashi wa Nihongo ga dekimasu (yo puedo idioma japones)
Sensei,Profesor,,Sustantivo,,
igirisu,Reino unido,イギリス,Sustantivo,#pais#gentilicio,
desu,Ser/Estar,,Verbo,#desu,
Sama,Sir (más respetuoso que Mr),,Sustantivo,#titulo,
jikan,"tiempo, hora",じかん,Sustantivo,,
Anata,Tú,,Pronombre,#Tú,
Anta,Tú,,Pronombre,#Tú,
Kimi,Tú,,Pronombre,#Tú,
Benezuera,Venezuela,ベネズエラ,Sustantivo,#pais#gentilicio,
Watashi,Yo,私,Pronombre,,
Benkyou Shimasu,,,,,
Ga,,,Partícula,,Watashi wa Nihongo ga dekimasu (yo puedo idioma japones)
Wa,,は,Partícula,,Watashi wa Dani desu
Asa,Mañana,あさ,Sustantivo,,
Isu,silla,いす,Sustantivo,,
uta,canción,うた,Sustantivo,,
utau,cantar,うたう,Sustantivo,,
eki,estación,えき,Sustantivo,,
okaasan,mama,おかあさん,Sustantivo,,
otoosan,papa,おとうさん,Sustantivo,,
kata,hombro,かた,Sustantivo,,
kirin,jirafa,きりん,Sustantivo,,
kutsu,zapatos,くつ,Sustantivo,,
keito,lana,けいと,Sustantivo,,
kodomo,niños,こども,Sustantivo,,
sakana,pescado,さかな,Sustantivo,,
shio,sal,しお,Sustantivo,,
suika,sandía,すいか,Sustantivo,,
Sensei,profesor,せんせい,Sustantivo,,
sora,cielo,そら,Sustantivo,,
tako,pulpo,たこ,Sustantivo,,
chi,sangre,ち,Sustantivo,,
tsukue,escritorio,つくえ,Sustantivo,,
te,mano,て,Sustantivo,,
tokei,reloj,とけい,Sustantivo,,
nashi,pera,なし,Sustantivo,,
niku,carne,にく,Sustantivo,,
nuigurumi,peluche,ぬいぐるみ,Sustantivo,,
neko,gato,ねこ,Sustantivo,,
nori,alga,のり,Sustantivo,,
ha,diente,は,Sustantivo,,
hiru,tarde,ひる,Sustantivo,,
yoru,noche,よる,Sustantivo,,
fuusen,globos,ふうせん,Sustantivo,,
heya,habitación,けや,Sustantivo,,
hoshi,estrella,ほし,Sustantivo,,
matsuri,festival,まつり,Sustantivo,,
mikan,mandarina,みかん,Sustantivo,,
mugiwara,sombrero de paja,むぎわら,Sustantivo,,
dorama,culebrón,どらま,Sustantivo,,
me,ojo,め,Sustantivo,,
momo,durazno,もも,Sustantivo,,
ya,flecha,や,Sustantivo,,
yuki,nieve,ゆき,Sustantivo,,
rakuda,camello,らくだ,Sustantivo,,
ringo,manzana,りんご,Sustantivo,,
reizooko,refrigerador,れいぞうこ,Sustantivo,,
rousoku,vela,ろうそく,Sustantivo,,
wani,cocodrilo,わに,Sustantivo,,
ninjin,zanahoria,にんじん,Sustantivo,,
gakkou,escuela,がっこう,Sustantivo,,
ginkou,banco,ぎんこう,Sustantivo,,
guai,condiciones de salud,ぐあい,Sustantivo,,
geta,zueco japones,げた,Sustantivo,,
go,5,ご,Sustantivo,,
zannen,lástima,ざんねん,Sustantivo,,
jikan,tiempo hora,じかん,Sustantivo,,
zukan,enciclopedia ilustrada,ずかん,Sustantivo,,
zensoku,asma,ぜんそく,Sustantivo,,
zou,elefante,ぞう,Sustantivo,,
sukoshi,un poco,すこし,Adverbio,,
